DCIOutboundKpiExportSucceededDCIOutboundKpiExportSucceeded,Outbound Kpi Export Succeeded (成功した送信 KPI のエクスポート)Outbound Kpi Export Succeeded,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundKpiExportFailedDCIOutboundKpiExportFailed,Outbound Kpi Export Failed (失敗した送信 KPI のエクスポート)Outbound Kpi Export Failed,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundKpiExportDurationDCIOutboundKpiExportDuration,Outbound Kpi Export Duration (送信 KPI のエクスポート時間)Outbound Kpi Export Duration,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundKpiExportStartedDCIOutboundKpiExportStarted,Outbound Kpi Export Started (送信 KPI のエクスポートの開始)Outbound Kpi Export Started,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundKpiRecordCountDCIOutboundKpiRecordCount,Outbound Kpi Record Count (送信 KPI レコードの数)Outbound Kpi Record Count,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundProfileExportCountDCIOutboundProfileExportCount,Outbound Profile Export Count (送信プロファイルのエクスポートの数)Outbound Profile Export Count,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundInitialProfileExportFailedDCIOutboundInitialProfileExportFailed,Outbound Initial Profile Export Failed (失敗した送信初期プロファイルのエクスポート)Outbound Initial Profile Export Failed,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundInitialProfileExportSucceededDCIOutboundInitialProfileExportSucceeded,Outbound Initial Profile Export Succeeded (成功した送信初期プロファイルのエクスポート)Outbound Initial Profile Export Succeeded,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundInitialKpiExportFailedDCIOutboundInitialKpiExportFailed,Outbound Initial Kpi Export Failed (失敗した送信初期 KPI のエクスポート)Outbound Initial Kpi Export Failed,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundInitialKpiExportSucceededDCIOutboundInitialKpiExportSucceeded,Outbound Initial Kpi Export Succeeded (成功した送信初期 KPI のエクスポート)Outbound Initial Kpi Export Succeeded,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundInitialProfileExportDurationInSecondsDCIOutboundInitialProfileExportDurationInSeconds,Outbound Initial Profile Export Duration In Seconds (送信初期プロファイルのエクスポート時間 (秒))Outbound Initial Profile Export Duration In Seconds,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
AdlaJobForStandardKpiFailedAdlaJobForStandardKpiFailed,Adla Job For Standard Kpi Failed In Seconds (失敗した標準 KPI の Adla ジョブ (秒))Adla Job For Standard Kpi Failed In Seconds,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
AdlaJobForStandardKpiTimeOutAdlaJobForStandardKpiTimeOut,Adla Job For Standard Kpi TimeOut In Seconds (標準 KPI の Adla ジョブのタイムアウト (秒))Adla Job For Standard Kpi TimeOut In Seconds,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
AdlaJobForStandardKpiCompletedAdlaJobForStandardKpiCompleted,Adla Job For Standard Kpi Completed In Seconds (完了した標準 KPI の Adla ジョブ (秒))Adla Job For Standard Kpi Completed In Seconds,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
ImportASAValuesFailedImportASAValuesFailed,Import ASA Values Failed Count (ASA 値のインポートの失敗数)Import ASA Values Failed Count,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
ImportASAValuesSucceededImportASAValuesSucceeded,Import ASA Values Succeeded Count (ASA 値のインポートの成功数)Import ASA Values Succeeded Count,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIProfilesCountDCIProfilesCount,Profile Instance Count (プロファイル インスタンス数)Profile Instance Count,CountCount,Last (最後へ)Last,,ディメンションなしNo Dimensions,,,,,,,
DCIInteractionsPerMonthCountDCIInteractionsPerMonthCount,1 か月間のインタラクション数Interactions per Month Count,CountCount,Last (最後へ)Last,,ディメンションなしNo Dimensions,,,,,,,
DCIKpisCountDCIKpisCount,KPI Count (KPI の数)KPI Count,CountCount,Last (最後へ)Last,,ディメンションなしNo Dimensions,,,,,,,
DCISegmentsCountDCISegmentsCount,Segment Count (セグメントの数)Segment Count,CountCount,Last (最後へ)Last,,ディメンションなしNo Dimensions,,,,,,,
DCIPredictiveMatchPoliciesCountDCIPredictiveMatchPoliciesCount,Predictive Match Count (予測マッチの数)Predictive Match Count,CountCount,Last (最後へ)Last,,ディメンションなしNo Dimensions,,,,,,,
DCIPredictionsCountDCIPredictionsCount,Prediction Count (予測の数)Prediction Count,CountCount,Last (最後へ)Last,,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.DataBoxEdge/dataBoxEdgeDevicesMicrosoft.DataBoxEdge/dataBoxEdgeDevices,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
NICReadThroughputNICReadThroughput,読み取りスループット (ネットワーク)Read Throughput (Network),BytesPerSecondBytesPerSecond,平均Average,ゲートウェイのすべてのボリュームに対するレポート期間におけるデバイスでのネットワーク インターフェイスの読み取りスループット。The read throughput of the network interface on the device in the reporting period for all volumes in the gateway.,InstanceNameInstanceName,,,,,,,
NICWriteThroughputNICWriteThroughput,書き込みスループット (ネットワーク)Write Throughput (Network),BytesPerSecondBytesPerSecond,平均Average,ゲートウェイのすべてのボリュームに対するレポート期間におけるデバイスでのネットワーク インターフェイスの書き込みスループット。The write throughput of the network interface on the device in the reporting period for all volumes in the gateway.,InstanceNameInstanceName,,,,,,,
CloudReadThroughputPerShareCloudReadThroughputPerShare,クラウドのダウンロード スループット (共有)Cloud Download Throughput (Share),BytesPerSecondBytesPerSecond,平均Average,レポート期間中の共有から Azure へのダウンロード スループット。The download throughput to Azure from a share during the reporting period.,共有Share,,,,,,,
CloudUploadThroughputPerShareCloudUploadThroughputPerShare,クラウドへのアップロード時のスループット (共有)Cloud Upload Throughput (Share),BytesPerSecondBytesPerSecond,平均Average,レポート期間中の共有から Azure へのアップロード スループット。The upload throughput to Azure from a share during the reporting period.,共有Share,,,,,,,
BytesUploadedToCloudPerShareBytesUploadedToCloudPerShare,クラウドのアップロードされたバイト数 (共有)Cloud Bytes Uploaded (Share),BytesBytes,平均Average,レポート期間中に共有から Azure にアップロードされるバイトの合計数。The total number of bytes that is uploaded to Azure from a share during the reporting period.,共有Share,,,,,,,
TotalCapacityTotalCapacity,合計容量Total Capacity,BytesBytes,平均Average,合計容量Total Capacity,ディメンションなしNo Dimensions,,,,,,,
AvailableCapacityAvailableCapacity,使用可能な容量Available Capacity,BytesBytes,平均Average,レポート期間中の使用可能な容量 (バイト単位)。The available capacity in bytes during the reporting period.,ディメンションなしNo Dimensions,,,,,,,
CloudUploadThroughputCloudUploadThroughput,クラウド アップロード スループットCloud Upload Throughput,BytesPerSecondBytesPerSecond,平均Average,レポート期間中の Azure へのクラウド アップロード スループット。The cloud upload throughput to Azure during the reporting period.,ディメンションなしNo Dimensions,,,,,,,
CloudReadThroughputCloudReadThroughput,クラウド ダウンロード スループットCloud Download Throughput,BytesPerSecondBytesPerSecond,平均Average,レポート期間中の Azure へのクラウド ダウンロード スループット。The cloud download throughput to Azure during the reporting period.,ディメンションなしNo Dimensions,,,,,,,
BytesUploadedToCloudBytesUploadedToCloud,クラウドのアップロードされたバイト数 (デバイス)Cloud Bytes Uploaded (Device),BytesBytes,平均Average,レポート期間中にデバイスから Azure にアップロードされるバイトの合計数。The total number of bytes that is uploaded to Azure from a device during the reporting period.,ディメンションなしNo Dimensions,,,,,,,
HyperVVirtualProcessorUtilizationHyperVVirtualProcessorUtilization,Edge コンピューティング - CPU 使用率Edge Compute - Percentage CPU,PercentPercent,平均Average,CPU 使用率 (パーセント)Percent CPU Usage,InstanceNameInstanceName,,,,,,,
HyperVMemoryUtilizationHyperVMemoryUtilization,Edge コンピューティング - メモリ使用量Edge Compute - Memory Usage,PercentPercent,平均Average,使用中の RAM の容量Amount of RAM in Use,InstanceNameInstanceName,,,,,,,
,,,,,,,,,,,,
Microsoft.DataFactory/datafactoriesMicrosoft.DataFactory/datafactories,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
FailedRunsFailedRuns,失敗した実行Failed Runs,CountCount,合計Total,,"pipelineName、activityNamepipelineName, activityName",,,,,,,
SuccessfulRunsSuccessfulRuns,成功した実行Successful Runs,CountCount,合計Total,,"pipelineName、activityNamepipelineName, activityName",,,,,,,
,,,,,,,,,,,,
Microsoft.DataFactory/factoriesMicrosoft.DataFactory/factories,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
PipelineFailedRunsPipelineFailedRuns,失敗したパイプライン実行回数のメトリックFailed pipeline runs metrics,CountCount,合計Total,,"FailureType、NameFailureType, Name",,,,,,,
PipelineSucceededRunsPipelineSucceededRuns,成功したパイプライン実行回数のメトリックSucceeded pipeline runs metrics,CountCount,合計Total,,"FailureType、NameFailureType, Name",,,,,,,
ActivityFailedRunsActivityFailedRuns,失敗したアクティビティ実行回数のメトリックFailed activity runs metrics,CountCount,合計Total,,"ActivityType、PipelineName、FailureType、NameActivityType, PipelineName, FailureType, Name",,,,,,,
ActivitySucceededRunsActivitySucceededRuns,成功したアクティビティ実行回数のメトリックSucceeded activity runs metrics,CountCount,合計Total,,"ActivityType、PipelineName、FailureType、NameActivityType, PipelineName, FailureType, Name",,,,,,,
TriggerFailedRunsTriggerFailedRuns,失敗したトリガー実行の回数メトリックFailed trigger runs metrics,CountCount,合計Total,,"Name、FailureTypeName, FailureType",,,,,,,
TriggerSucceededRunsTriggerSucceededRuns,成功したトリガー実行の回数メトリックSucceeded trigger runs metrics,CountCount,合計Total,,"Name、FailureTypeName, FailureType",,,,,,,
IntegrationRuntimeCpuPercentageIntegrationRuntimeCpuPercentage,統合実行時の CPU 使用率Integration runtime CPU utilization,PercentPercent,平均Average,,"IntegrationRuntimeName、NodeNameIntegrationRuntimeName, NodeName",,,,,,,
IntegrationRuntimeAvailableMemoryIntegrationRuntimeAvailableMemory,統合実行時に使用可能なメモリIntegration runtime available memory,BytesBytes,平均Average,,"IntegrationRuntimeName、NodeNameIntegrationRuntimeName, NodeName",,,,,,,
